"T1","P1","T2","P2","DTR","Consistent_DTR","DTR_Label","Responder_Label","Nonresponder_Label","Responder_Index","Nonresponder_Index"
"A",0,"C",0,"AAC","AAC_00",1,1,1,1,5
"A",0,"C",1,"AAC","AAC_01",2,1,2,1,6
"A",1,"C",0,"AAC","AAC_10",3,2,3,2,7
"A",1,"C",1,"AAC","AAC_11",4,2,4,2,8
"A",0,"D",0,"AAD","AAD_00",1,1,1,1,9
"A",0,"D",1,"AAD","AAD_01",2,1,2,1,10
"A",1,"D",0,"AAD","AAD_10",3,2,3,2,11
"A",1,"D",1,"AAD","AAD_11",4,2,4,2,12
"B",0,"C",0,"BBC","BBC_00",1,1,1,3,13
"B",0,"C",1,"BBC","BBC_01",2,1,2,3,14
"B",1,"C",0,"BBC","BBC_10",3,2,3,4,15
"B",1,"C",1,"BBC","BBC_11",4,2,4,4,16
"B",0,"D",0,"BBD","BBD_00",1,1,1,3,17
"B",0,"D",1,"BBD","BBD_01",2,1,2,3,18
"B",1,"D",0,"BBD","BBD_10",3,2,3,4,19
"B",1,"D",1,"BBD","BBD_11",4,2,4,4,20
