"T1","P1","R","T2","P2","Sequence","Path_Label","Path_Index","Pathway","g_idx"
"A",0,1,NA,NA,"A",1,1,"A_0",1
"A",1,1,NA,NA,"A",2,2,"A_1",1
"B",0,1,NA,NA,"B",1,3,"B_0",2
"B",1,1,NA,NA,"B",2,4,"B_1",2
"A",0,0,"C",0,"AC",1,5,"A_0 C_0",3
"A",0,0,"C",1,"AC",2,6,"A_0 C_1",3
"A",1,0,"C",0,"AC",3,7,"A_1 C_0",3
"A",1,0,"C",1,"AC",4,8,"A_1 C_1",3
"A",0,0,"D",0,"AD",1,9,"A_0 D_0",4
"A",0,0,"D",1,"AD",2,10,"A_0 D_1",4
"A",1,0,"D",0,"AD",3,11,"A_1 D_0",4
"A",1,0,"D",1,"AD",4,12,"A_1 D_1",4
"B",0,0,"C",0,"BC",1,13,"B_0 C_0",5
"B",0,0,"C",1,"BC",2,14,"B_0 C_1",5
"B",1,0,"C",0,"BC",3,15,"B_1 C_0",5
"B",1,0,"C",1,"BC",4,16,"B_1 C_1",5
"B",0,0,"D",0,"BD",1,17,"B_0 D_0",6
"B",0,0,"D",1,"BD",2,18,"B_0 D_1",6
"B",1,0,"D",0,"BD",3,19,"B_1 D_0",6
"B",1,0,"D",1,"BD",4,20,"B_1 D_1",6
