"pairs0_idx_1","pairs0_idx_2","comparator0_idx"
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
3,1,3
3,2,3
3,3,3
3,4,3
3,5,3
3,6,3
3,7,3
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
5,1,5
5,2,5
5,3,5
5,4,5
5,5,5
5,6,5
5,7,5
6,1,6
6,2,6
6,3,6
6,4,6
6,5,6
6,6,6
6,7,6
7,1,7
7,2,7
7,3,7
7,4,7
7,5,7
7,6,7
7,7,7
1,8,8
1,9,8
1,10,8
1,11,8
1,12,8
1,13,8
1,14,8
2,8,9
2,9,9
2,10,9
2,11,9
2,12,9
2,13,9
2,14,9
3,8,10
3,9,10
3,10,10
3,11,10
3,12,10
3,13,10
3,14,10
4,8,11
4,9,11
4,10,11
4,11,11
4,12,11
4,13,11
4,14,11
5,8,12
5,9,12
5,10,12
5,11,12
5,12,12
5,13,12
5,14,12
6,8,13
6,9,13
6,10,13
6,11,13
6,12,13
6,13,13
6,14,13
7,8,14
7,9,14
7,10,14
7,11,14
7,12,14
7,13,14
7,14,14
1,15,15
1,16,15
1,17,15
1,18,15
1,19,15
1,20,15
1,21,15
2,15,16
2,16,16
2,17,16
2,18,16
2,19,16
2,20,16
2,21,16
3,15,17
3,16,17
3,17,17
3,18,17
3,19,17
3,20,17
3,21,17
4,15,18
4,16,18
4,17,18
4,18,18
4,19,18
4,20,18
4,21,18
5,15,19
5,16,19
5,17,19
5,18,19
5,19,19
5,20,19
5,21,19
6,15,20
6,16,20
6,17,20
6,18,20
6,19,20
6,20,20
6,21,20
7,15,21
7,16,21
7,17,21
7,18,21
7,19,21
7,20,21
7,21,21
1,22,22
1,23,22
1,24,22
1,25,22
1,26,22
1,27,22
1,28,22
2,22,23
2,23,23
2,24,23
2,25,23
2,26,23
2,27,23
2,28,23
3,22,24
3,23,24
3,24,24
3,25,24
3,26,24
3,27,24
3,28,24
4,22,25
4,23,25
4,24,25
4,25,25
4,26,25
4,27,25
4,28,25
5,22,26
5,23,26
5,24,26
5,25,26
5,26,26
5,27,26
5,28,26
6,22,27
6,23,27
6,24,27
6,25,27
6,26,27
6,27,27
6,28,27
7,22,28
7,23,28
7,24,28
7,25,28
7,26,28
7,27,28
7,28,28
1,29,29
1,30,29
1,31,29
1,32,29
1,33,29
1,34,29
1,35,29
2,29,30
2,30,30
2,31,30
2,32,30
2,33,30
2,34,30
2,35,30
3,29,31
3,30,31
3,31,31
3,32,31
3,33,31
3,34,31
3,35,31
4,29,32
4,30,32
4,31,32
4,32,32
4,33,32
4,34,32
4,35,32
5,29,33
5,30,33
5,31,33
5,32,33
5,33,33
5,34,33
5,35,33
6,29,34
6,30,34
6,31,34
6,32,34
6,33,34
6,34,34
6,35,34
7,29,35
7,30,35
7,31,35
7,32,35
7,33,35
7,34,35
7,35,35
1,36,36
1,37,36
1,38,36
1,39,36
1,40,36
1,41,36
1,42,36
2,36,37
2,37,37
2,38,37
2,39,37
2,40,37
2,41,37
2,42,37
3,36,38
3,37,38
3,38,38
3,39,38
3,40,38
3,41,38
3,42,38
4,36,39
4,37,39
4,38,39
4,39,39
4,40,39
4,41,39
4,42,39
5,36,40
5,37,40
5,38,40
5,39,40
5,40,40
5,41,40
5,42,40
6,36,41
6,37,41
6,38,41
6,39,41
6,40,41
6,41,41
6,42,41
7,36,42
7,37,42
7,38,42
7,39,42
7,40,42
7,41,42
7,42,42
