"pairs_idx_1","pairs_idx_2","comparator_idx"
1,1,1
1,2,1
2,1,2
2,2,2
3,1,3
3,2,3
4,1,4
4,2,4
5,1,5
5,2,5
6,1,6
6,2,6
7,1,7
7,2,7
1,3,8
1,4,8
2,3,9
2,4,9
3,3,10
3,4,10
4,3,11
4,4,11
5,3,12
5,4,12
6,3,13
6,4,13
7,3,14
7,4,14
1,5,15
1,6,15
1,7,15
1,8,15
2,5,16
2,6,16
2,7,16
2,8,16
3,5,17
3,6,17
3,7,17
3,8,17
4,5,18
4,6,18
4,7,18
4,8,18
5,5,19
5,6,19
5,7,19
5,8,19
6,5,20
6,6,20
6,7,20
6,8,20
7,5,21
7,6,21
7,7,21
7,8,21
1,9,22
1,10,22
1,11,22
1,12,22
2,9,23
2,10,23
2,11,23
2,12,23
3,9,24
3,10,24
3,11,24
3,12,24
4,9,25
4,10,25
4,11,25
4,12,25
5,9,26
5,10,26
5,11,26
5,12,26
6,9,27
6,10,27
6,11,27
6,12,27
7,9,28
7,10,28
7,11,28
7,12,28
1,13,29
1,14,29
1,15,29
1,16,29
2,13,30
2,14,30
2,15,30
2,16,30
3,13,31
3,14,31
3,15,31
3,16,31
4,13,32
4,14,32
4,15,32
4,16,32
5,13,33
5,14,33
5,15,33
5,16,33
6,13,34
6,14,34
6,15,34
6,16,34
7,13,35
7,14,35
7,15,35
7,16,35
1,17,36
1,18,36
1,19,36
1,20,36
2,17,37
2,18,37
2,19,37
2,20,37
3,17,38
3,18,38
3,19,38
3,20,38
4,17,39
4,18,39
4,19,39
4,20,39
5,17,40
5,18,40
5,19,40
5,20,40
6,17,41
6,18,41
6,19,41
6,20,41
7,17,42
7,18,42
7,19,42
7,20,42
